Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
Black Christmas,2019,remake,nan,"thriller, horror",Universal Pictures,31,40,50,45,19,4240245,4.2,9747760,9.7,8.1,8100000,17847760,17.8,5,356.96,84
Black Mass,2015,adaptation,nan,"crime, drama",nan,97,76,68,72,77,22635037,22.64,61853408,61.85,18.5,18500000,80353408,80,53,151.61,42.71
Black Panther,2018,original screenplay,nan,action,nan,79,97,88,93,67,202003951,202,700059566,700,647,646784468,1346844034,13468,205,657,98.54
Black Panther: Wakanda Forever,2022,nan,action,"adventure, sci-fi, drama, thriller, fantasy",Walt Disney Studios Motion Pictures,94,84,67,76,54,181339761,181.3,453829060,453.8,400.2,400156486,853985546,854,250,341.59,72.54
Black Swan        ,2010,original screenplay,nan,"mystery, thriller",nan,86,88,79,84,80,8380000,8.38,106950000,106.95,222.44,222440000,329390000,329.39,13,2533.77,64.46
Black and Blue,2019,original screenplay,nan,action,Sony Pictures,93,51,54,53,37,8376846,8.4,21800086,21.8,0.6,644342,22444428,22.4,12,187.04,70
Blackhat,2015,original screenplay,nan,thriller,nan,25,34,51,43,53,3901815,3.9,7889395,7.89,9.86,9863545,17752940,18,70,25.36,5.57
Blade Runner 2049,2017,sequel,nan,sci-fi,nan,81,87,81,84,84,32753122,32.75,91366477,91.37,166.4,166400313,257766790,257.77,150,171.84,21.84
Blades of Glory,2007,original screenplay,comedy,"sports, comedy",nan,68,69,64,67,70,33014202,33.01,118594548,118.59,27.11,27114094,145708642,146,61,238.87,54.12
Blades of Glory,2007,original screenplay,comedy,"sports, comedy",nan,68,69,64,67,70,33014202,33.01,118594548,118.59,27.11,27114094,145708642,146,61,238.87,54.12
Blair Witch,2016,sequel,nan,Horror,nan,34,36,47,41.5,50,9576057,9.58,20777061,20.78,24.35,24352790,45129851,45.13,5,903,191.52
Blended,2014,original screenplayÃ,nan,comedy,nan,64,14,31,23,42,14284031,14.28,46294610,46.29,80.5,80500000,126794610,127,40,316.99,35.71
Blinded by the Light,2019,based on a true story,nan,drama,Warner Bros. Pictures,91,89,71,80,68,4333305,4.3,11901145,11.9,6.1,6118053,18019198,18,15,120.13,28.67
Blockers,2018,original screenplay,nan,comedy,nan,50,83,69,76,62,20556350,20.6,59839515,60,34,33835271,93674786,937,21,446.07,97.89
Bloodshot,2020,adaptation,action,nan,Sony Pictures,78,31,44,38,51,9176695,9.1,12561824,12.6,27.2,27299294,39861118,39.8,45,88.58,20.22
Blue Jasmine,2013,original screenplay,nan,"Drama, Comedy",nan,77,91,78,85,76,612064,0.61,33405481,33.41,64.1,64100000,97505481,98,18,541.7,3.4
Blue is the Warmest Colour,2013,original screenplay,nan,"Drama, Romance",nan,85,91,88,90,82,100316,0.1,2199787,2.2,5.18,5180019,7379806,7,44,16.77,0.23
Bohemian Rhapsody,2018,based on a true story,nan,drama,nan,90,62,49,56,82,51061119,51.1,193673825,194,550,550032290,743706115,7437,52,1430.2,98.19
Bombshell,2019,based on a true story,nan,"biography, drama",Lionsgate,83,66,65,66,63,319157,0.3,18109144,18.1,0.2,228919,18338063,18.3,32,57.31,0.94
Bones and All,2022,nan,drama,"horror, romance",Metro-Goldwyn-Mayer (MGM),62,82,74,78,70,121004,0.1,7834907,7.8,6.3,6284369,14119276,14.1,20,70.6,0.61
Booksmart,2019,original screenplay,nan,comedy,United Artists Releasing,77,97,84,91,43,6933620,6.9,22680962,22.7,2.2,2163028,24843990,24.8,6,414.07,115
Boyhood,2014,original screenplayÃ,nan,drama,nan,82,98,100,99,77,387618,0.39,25352281,25.35,19.14,19143000,44495281,44,4,1112.38,9.69
Brahms: The Boy II,2020,sequel,drama,nan,STX Entertainment,44,10,29,20,43,5823006,5.8,12611536,12.6,7.7,770000,21311536,21.3,10,213.12,58
Brave,2012,original screenplay,nan,"animation, action, adventure",nan,76,78,69,74,72,66323594,66.32,237283207,237.28,301.7,301700000,538983207,539,185,291.34,35.85
Breaking In,2018,original screenplay,nan,"thriller, suspense",nan,32,27,42,35,39,17630285,17.6,46383120,46,5,4545500,50928620,509,6,848.81,293.84
Breakthrough,2019,adaptation,nan,drama,20th Century Fox,81,61,46,54,68,11282333,11.3,40713082,40.7,9.7,9731276,50444358,50.4,14,360.32,80.71
Bride Wars ,2009,original screenplay,nan,"comedy, romance",nan,56,11,24,18,37,21100000,21.1,58750000,58.75,55.95,55950000,115150000,115.15,30,383.83,70.33
Bridesmaids,2011,original screenplay,nan,"comedy, romance",nan,77,90,75,83,72,26250000,26.25,169110000,169.11,119.28,119280000,288390000,288.39,32.5,887.35,80.77
Bridge of Spies,2015,based on a true story,nan,"thriller, history",nan,98,92,81,87,80,15371203,15.37,72232000,72.23,92.1,92100000,164332000,164,40,410.83,38.43
Bridget JonesÃ¢ÂÂs Baby,2016,sequel,nan,"romance, comedy",nan,75,77,59,68,72,8571785,8.57,24139805,24.14,160.02,160015368,184155173,184.16,35,526,24.49
BrightBurn,2019,original screenplay,nan,horror,Sony Pictures,67,57,44,51,64,7845658,7.8,17259427,17.3,15.6,15592982,32852409,32.9,6,547.54,130
Brittany Runs a Marathon,2019,original screenplay,nan,drama,Amazon Studios,87,89,72,81,56,180711,0.2,7136342,7.1,0.3,250420,7386762,7.4,14,52.76,1.43
Brooklyn ,2015,adaptation,nan,Drama,nan,87,97,87,92,80,3946667,4,38322743,38.32,23.75,23753398,38322767,38.32,11,348,35.88
Brooklyn's Finest,2010,original screenplay,nan,"crime, thriller",nan,47,42,43,43,54,13400000,13.4,27160000,27.16,9.28,9280000,36440000,36.44,17,214.35,78.82
Bros,2022,nan,comedy,romance,Universal Pictures,90,88,72,80,41,4854125,4.9,11628165,11.6,3.2,3203632,14831797,14.8,22,67.42,22.06
Brothers ,2009,remake / reboot,nan,"thriller, war",nan,62,61,58,60,73,9500000,9.5,28500000,28.5,14.77,14770000,43270000,43.27,26,166.42,36.54
BrÃÂ¼no ,2009,original screenplay,nan,comedy,nan,48,68,54,61,59,30600000,30.6,60100000,60.1,78.75,78750000,130800000,130.8,42,311.43,72.86
Bullet Train,2022,nan,action,thriller,Sony Pictures,76,53,49,51,71,30030156,30,103368602,103.4,135.2,135166361,238534963,238.5,85.9,277.69,34.96
Bumblebee,2018,sequel,nan,"sci-fi, action",nan,79,93,67,80,76,21654047,21.7,97128140,97,192,192000000,289128140,2891,135,214.17,16.04
Buried,2010,original screenplay,nan,"mystery, thriller",nan,63,86,65,76,72,103000,0.1,1040000,1.04,18.11,18110000,19150000,19.15,2,957.5,5.15
Burlesque,2010,original screenplay,nan,"musical, romance",nan,66,36,47,42,66,11950000,11.95,39440000,39.44,50.08,50080000,89520000,89.52,55,162.76,21.73
Burnt,2015,original screenplay,nan,comedy,nan,89,28,42,35,44,5002521,5,5002521,5,4.58,4577251,9579772,10,37,25.89,13.52
By The Sea,2015,original screenplay,nan,drama,nan,44,32,44,38,68,96250,0.1,538460,0.54,2.02,2017065,2555525,3,10,25.56,0.96
CHiPs,2017,adaptation,nan,"action, comedy",nan,45,17,28,23,42,7722802,7.72,18600152,18.6,8.2,8200000,26800152,26.8,25,107.2,30.89
CafÃÂ© Society,2016,original screenplay,nan,Drama,nan,60,70,64,67,69,359289,0.36,11103205,11.1,0.95,31909548,12048652,12.05,30,40,1.2
Call Me By Your Name,2018,"adaptation, sequel",nan,drama,nan,85,95,93,94,78,1437889,1.4,18095701,18,24,23603117,41698818,417,3.5,1191.39,41.08
Captain America: Civil War,2016,sequel,nan,Action,nan,89,90,75,82.5,83,179139142,179.14,408084349,408.08,745.22,745220146,1153304495,1153.3,250,461,71.66
Captain America: The First Avenger,2011,adaptation,nan,"action, adventure, sci-fi",nan,75,78,66,72,69,65060000,65.06,176650000,176.65,193.92,193920000,370570000,370.57,140,264.69,46.47
Captain America: The Winter Soldier,2014,sequel,nan,"action, adventure, sci-fi, thriller",nan,92,89,70,80,82,95023721,95.02,259766572,259.77,455,455000000,714766572,715,170,420.45,55.9
Captain Fantastic,2016,original screenplay,nan,Drama,nan,85,82,72,77,78,93824,0.09,5879835,5.88,4.09,4089338,9969173,9.97,9,111,1.04
Captain Marvel,2019,adaptation,nan,"action, adventure, sci-fi",Walt Disney Studios,58,78,64,71,36,153433423,153.4,373880366,373.9,664.1,664099896,1037980262,1038,152,682.88,100.92
Captain Phillips,2013,based on a true story,nan,"Action, Adventure, Biography, Drama, Thriller, Crime",nan,89,93,83,88,81,25718314,25.72,107100855,107.1,111.69,111690956,218791811,219,55,397.8,46.76
Captain Underpants: The First Epic Movie,2017,adaptation,nan,animation,nan,61,86,69,78,67,23851539,23.85,73921000,73.92,51.37,51368450,125289450,125.29,38,329.71,62.77
Captive State,2019,original screenplay,nan,"sci-fi, thriller",Focus Features,42,45,54,50,53,3131525,3.1,5958315,6,1,982490,6940805,6.9,25,27.76,12.4
Carol,2015,adaptation,nan,drama,nan,73,94,95,94.5,79,253510,0.25,7729016,7.73,27.56,27560644,35289660,35.29,12,294,2.11
Carrie,2013,"adaptation, remake / reboot",nan,"Sci-Fi, Drama, Horro",nan,45,48,53,51,62,12101552,12.1,35266619,35.27,49.52,49524059,84790678,85,30,282.64,40.34
Cars 2,2011,sequel,nan,"animation, adventure, comedy",nan,56,38,57,48,59,66140000,66.14,191450000,191.45,368.4,368400000,559850000,559.85,200,279.93,33.07
Cars 3,2017,sequel,nan,animation,nan,71,68,59,64,70,53688680,53.69,152901115,152.9,230.81,230814641,383715756,383.72,175,219.27,30.68
Case 39,2010,original screenplay,nan,"horror, mystery, thriller",nan,42,23,25,24,57,5400000,5.4,13260000,13.26,14.93,14930000,28190000,28.19,26,108.42,20.77
Cats,2019,adaptation,nan,"drama, comedy, musical",Universal Pictures,54,19,32,26,63,6619870,6.6,19962590,20,20.5,20500000,40462590,40.5,95,42.59,6.95
Cats & Dogs: The Revenge of Kitty Galore,2010,sequel,nan,"action, comedy, family",nan,43,13,30,22,52,12300000,12.3,43590000,43.59,68.9,68900000,112490000,112.49,85,132.34,14.47
Cedar Rapids,2011,original screenplay,nan,comedy,nan,61,86,70,78,70,300000,0,6860000,7,0,1001029,6860000,7,10,68.6,3
Central Intelligence,2016,original screenplay,nan,Comedy,nan,64,70,52,61,66,35535250,35.54,127440871,127.44,89.53,89531672,216972543,216.97,50,434,71.07
Chappaquiddick,2018,based on a true story,nan,"thriller, suspense",nan,70,80,67,74,74,5765854,5.8,17395521,17,1,591150,17986671,180,34,52.9,16.96
Chappie,2015,adaptation,nan,"sci-fi, action",nan,57,31,41,36,73,13346782,13.35,31569268,31.57,70.5,70500000,102069268,102,49,208.3,27.24
"Charlie St. Cloud	",2010,adaptation,nan,"fantasy, romance",nan,62,27,37,32,48,12400000,12.4,31160000,31.16,17.03,17030000,48190000,48.19,44,109.52,28.18
Charlie Wilson's War,2007,based on a true story,drama,"war, drama",nan,73,82,69,76,69,9656250,9.66,66661095,66.66,51.81,51814126,118475221,118,75,157.97,12.88
Charlie Wilson's War,2007,based on a true story,drama,"war, drama",nan,73,82,69,76,69,9656250,9.66,66661095,66.66,51.81,51814126,118475221,118,75,157.97,12.88
CharlieÃ¢ÂÂs Angels,2019,remake,nan,action,Sony Pictures,79,53,52,53,28,8351109,8.4,17199425,17.2,38.4,38400000,55599425,55.6,48,115.83,17.5
Chef,2014,original screenplayÃ,nan,comedy,nan,85,86,68,77,78,204961,0.2,31424003,31.42,14.54,14543932,45967935,46,11,417.89,1.86
Chernobyl Diaries,2012,original screenplay,nan,"horror, thriller",nan,29,19,32,26,47,7955307,7.96,18119640,18.12,19.04,19038008,37157648,37,1,3715.76,795.53
ChildÃ¢ÂÂs Play,2019,remake,nan,horror,United Artists Releasing,57,63,48,56,62,14094594,14.1,29208403,29.2,15.7,15693834,44902237,44.9,10,449.02,141
Christopher Robin,2018,adaptation,nan,adventure,nan,87,71,59,65,76,24585139,24.6,78163501,78,37,37391937,115555438,1156,75,154.07,32.78
Chronicle (2012),2012,original screenplay,nan,"sci-fi, thriller",nan,71,85,69,77,73,22004098,22,64575175,64.58,62.06,62060922,126636097,127,12,1055.3,183.37
Cinderella,2015,adaptation,nan,fantasy,nan,79,85,67,76,76,67877361,67.88,201151353,201.15,341.2,341200000,542351353,542,95,570.9,71.45
Cirque du Freak: The Vampire's Assistant ,2009,adaptation,nan,"action, adventure, fantasy",nan,50,38,43,41,58,6300000,6.3,13870000,13.87,25.36,25360000,39230000,39.23,40,98.08,15.75
City Island,2010,original screenplay,nan,comedy,nan,77,81,66,74,83,32000,0.03,6670000,6.67,1.2,1200000,7870000,7.87,6,131.17,0.53
Clash of the Titans,2010,remake / reboot,nan,"action, adventure, fantasy",nan,48,28,39,34,48,61200000,61.2,163210000,163.21,330,330000000,493210000,493.21,125,394.57,48.96
Clerks III,2022,nan,comedy,drama,Lionsgate Films,93,63,50,57,49,674330,0.7,4663106,4.7,0.1,74849,4737955,4.7,7,67.69,9.63
Close Encounters of the Third Kind (40th Anniversary),2017,original screenplay,nan,sci-fi,nan,92,100,90,95,78,1767758,1.77,3100479,3.1,0,0,3100479,3.1,20,15.5,8.84
Cloud Atlas,2012,adaptation,nan,"adventure, sci-fi  ",nan,67,66,55,61,81,9612247,9.61,27108272,27.11,103.37,103374596,130482868,130,102,127.92,9.42
Cloudy With a Chance of Meatballs 2,2013,sequel,nan,"Sci-Fi, Fantasy, Comedy, Animation, Family",nan,67,70,59,65,71,34017930,34.02,119793567,119.79,154.53,154532382,274325949,274,78,351.7,43.61
Cloudy with a Chance of Meatballs ,2009,adaptation,nan,"animation, comedy, family",nan,70,86,66,76,67,30300000,30.3,124900000,124.9,118.13,118130000,243030000,243.03,100,243.03,30.3
Coco,2017,original screenplay,nan,animation,nan,96,97,81,89,83,50802605,50.8,139715473,139.72,263,263000000,402715473,402.72,188,214.78,27.09
Cold Pursuit,2019,remake,nan,"action, drama, thriller, crime",Lionsgate,58,69,57,63,60,11030233,11,32050710,32.1,27.1,27075069,59125779,59.1,60,98.54,18.33
Collateral Beauty,2016,original screenplay,nan,Drama,nan,69,12,24,18,50,7102085,7.1,27734185,28,20,20000000,47734185,47.73,36,133,19.73
Colombiana,2011,original screenplay,nan,"action, crime, thriller",nan,55,28,45,37,55,10410000,10.41,36670000,36.67,24.3,24300000,60970000,60.97,40,152.43,26.03
Colossal,2017,original screenplay,nan,"sci-fi, action",nan,59,80,70,75,61,120226,0.12,3029287,3.03,0,0,3029287,3.03,15,20.2,0.8
Come Play,2020,original screenplay,drama,nan,Focus Features,67,56,58,57,61,3119875,3.1,10475990,10.5,2.7,2706264,13182254,13.1,9,146.47,34.44
Conan the Barbarian,2011,adaptation,nan,"action, adventure, fantasy",nan,34,22,36,29,53,10020000,10.02,21300000,21.3,27.5,27500000,48800000,48.8,90,54.22,11.13
Concussion,2015,"based on a true story, adaptation",nan,drama,nan,76,60,56,58,62,10500000,10.5,34542474,34.54,14.08,14081098,48623572,49,35,138.92,30
Confessions of a Shopaholic ,2009,adaptation,nan,"comedy, romance",nan,53,24,38,31,47,15000000,15,44270000,44.27,64.05,64050000,108300000,108.3,70,154.71,21.43
Contagion,2011,original screenplay,nan,"sci-fi, thriller",nan,63,84,70,77,64,22400000,22.4,75660000,75.66,59.8,59800000,135460000,135.46,60,225.77,37.33
Contraband,2012,remake / reboot,nan,"action, crime, drama",nan,58,51,51,51,60,24349815,24.35,66528000,66.53,29.73,29734212,96262212,96,25,385.05,97.4
Conviction,2010,original screenplay,nan,biography,nan,71,68,61,65,70,1620000,1.62,6790000,6.79,2.92,2920000,9710000,9.71,12.5,77.68,12.96
Cop Out,2010,original screenplay,nan,"action, comedy, crime",nan,45,19,31,25,51,18210000,18.21,44880000,44.88,10.71,10710000,55590000,55.59,30,185.3,60.7
Coraline ,2009,adaptation,nan,"animation, fantasy, thriller",nan,77,89,80,85,80,16800000,16.8,75280000,75.28,49.3,49300000,124580000,124.58,60,207.63,28
Countdown,2019,original screenplay,nan,horror,STX Entertainment,72,25,31,28,32,8865082,8.9,25324261,25.3,10,10000000,35324261,35.3,6.5,543.45,136.92
Country Strong,2010,original screenplay,nan,music,nan,56,20,45,33,57,7330000,7.33,20220000,20.22,0.31,310000,20530000,20.53,15,136.87,48.87
Couples Retreat ,2009,original screenplay,nan,comedy,nan,47,12,23,18,45,34300000,34.3,109200000,109.2,62.63,62630000,171830000,171.83,60,286.38,57.17
Cowboys and Aliens,2011,adaptation,nan,"action, sci-fi, thriller",nan,50,44,50,47,60,36430000,36.43,100240000,100.24,74.58,74580000,174820000,174.82,163,107.25,22.35
Crank: High Voltage ,2009,sequel,nan,"action, crime, thriller",nan,54,62,41,52,68,7000000,7,13700000,13.7,20.8,20800000,34500000,34.5,12.9,267.44,54.26
Crawl,2019,original screenplay,nan,horror,Paramount Pictures,75,83,60,72,61,12005210,12,39014193,39,52.5,52502455,91516648,91.5,13.5,677.9,88.89
Crazy Rich Asians,2018,adaptation,nan,comedy,nan,89,93,74,84,71,26510140,26.5,79282410,79,12,11603963,90886373,909,30,302.95,88.37
"Crazy, Stupid, Love",2011,original screenplay,nan,"comedy, romance",nan,81,78,68,73,75,19100000,19.1,84350000,84.35,58.5,58500000,142850000,142.85,50,285.7,38.2
Creed,2015,sequel,nan,drama,nan,92,93,82,88,86,29632823,29.63,96986653,96.99,10.2,10200000,107186653,107,37,289.69,80.09
Creed II,2018,sequel,nan,drama,nan,84,83,66,75,73,35574710,35.6,114388337,114,30,30300000,144688337,1447,50,289.38,71.15
Crimes of the Future,2022,nan,drama,"horror, sci-fi",Vertigo Films,50,80,67,74,62,1117962,1.1,2452882,2.5,1.2,1150002,3602884,3.6,27,13.34,4.14
Criminal,2016,original screenplay,nan,Action,nan,49,30,37,33.5,77,5767278,5.77,14708696,14.71,24.1,24095297,38803993,38.8,32,121,18.02
Crimson Peak,2015,original screenplay,nan,horror,nan,62,69,66,68,73,13143310,13.14,27961325,27.96,34.38,34377759,62339084,62,55,113.34,23.9
Cyrano,2022,nan,drama,"musical, romance",Universal Pictures,86,85,66,76,55,1385995,1.4,3873124,3.9,2.1,2113800,5986924,6,30,19.96,4.62
Cyrus,2010,original screenplay,nan,romance,nan,51,80,74,77,61,180000,0.18,7470000,7.47,2.45,2450000,9920000,9.92,7,141.71,2.57
DC League of Super-Pets,2022,nan,action,"adventure, sci-fi, fantasy, comedy, crime, animation, family",Warner Bros. Pictures,88,73,56,65,58,23003441,23,93656856,93.7,110.2,110200000,203856856,203.9,90,226.51,25.56
Daddy Day Camp,2007,sequel,comedy,"family, comedy",nan,38,1,13,7,19,3402678,3.4,13235267,13.24,4.96,4962131,18197398,18,6,303.29,56.71
Daddy Day Camp,2007,sequel,comedy,"family, comedy",nan,38,1,13,7,19,3402678,3.4,13235267,13.24,4.96,4962131,18197398,18,6,303.29,56.71
Daddy's Home,2015,original screenplay,nan,comedy,nan,64,30,42,36,60,38740203,38.74,150357137,150.36,90,90003255,240360392,240,50,480.72,77.48
Daddy's Home 2,2017,sequel,nan,comedy,nan,59,18,30,24,60,29651193,29.65,92470376,92.47,53.47,53469916,145940292,145.94,69,211.51,42.97
Dallas Buyers Club,2013,based on a true story,nan,"Biography, Drama, History",nan,91,93,84,89,83,260865,0.26,27298285,27.3,27.9,27900000,55198285,55,5,1103.97,5.22
Dance Flick ,2009,original screenplay,nan,"action, comedy, music",nan,35,17,40,29,46,10600000,10.6,25660000,25.66,5.77,5770000,31430000,31.43,25,125.72,42.4
Danny Collins,2015,based on a true story,nan,"comedy, drama",nan,74,77,58,68,70,1479158,1.48,5637066,5.64,2.8,2800000,8437066,8,10,84.37,14.79
Dark Phoenix,2019,sequel,nan,action,20th Century Fox,64,23,43,33,51,32828348,32.8,65845974,65.8,186.6,186597000,252442974,252.4,200,126.22,16.4
Dark Shadows,2012,adaptation,nan,"comedy, horror",nan,46,38,55,47,56,29685274,29.69,79727149,79.73,165.8,165800000,245527149,246,150,163.68,19.79
Dark Waters,2019,original screenplay,nan,"biography, drama",Focus Features,95,89,73,81,80,102606,0.1,11136084,11.1,12,11971933,23108017,23.1,20,115.54,0.5
Date Night,2010,original screenplay,nan,"comedy, crime, romance",nan,58,66,56,61,58,25200000,25.2,98710000,98.71,53.55,53550000,152260000,152.26,55,276.84,45.82
Dawn of the Planet of the Apes,2014,sequel,nan,"action, sci-fi, drama, thriller",nan,89,90,79,85,82,72611427,72.61,208545589,208.55,500.29,500290000,708835589,709,170,416.96,42.71
"Daybreakers	",2010,original screenplay,nan,"action, horror",nan,50,67,57,62,60,15100000,15.1,30100000,30.1,21.31,21310000,51410000,51.41,20,257.05,75.5
